,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,L_rostralanteriorcingulate_cortex,L_rostralanteriorcingulate_cortex,L_thalamus,L_thalamus,L_hippocampus,R_rostralanteriorcingulate_cortex,R_rostralanteriorcingulate_cortex,R_thalamus,R_hippocampus,L_rostralanteriorcingulate_cortex,L_thalamus,L_hippocampus,L_amygdala,L_rostralanteriorcingulate_cortex,L_hippocampus,L_amygdala
1,L_thalamus,L_amygdala,L_hippocampus,R_hippocampus,L_amygdala,R_thalamus,R_amygdala,R_hippocampus,R_amygdala,R_thalamus,R_rostralanteriorcingulate_cortex,R_thalamus,R_rostralanteriorcingulate_cortex,R_amygdala,R_amygdala,R_hippocampus
148032,159.0,235.0,697.0,76.0,188.0,227.0,281.0,1022.0,342.0,,44.0,10.0,,30.0,,
148133,337.0,326.0,824.0,8.0,278.0,112.0,666.0,806.0,197.0,,,1.0,,,,
148335,75.0,1170.0,1447.0,1.0,499.0,232.0,447.0,528.0,759.0,,1.0,2.0,,,1.0,
148941,32.0,555.0,1213.0,20.0,1086.0,7.0,1643.0,1264.0,1936.0,1.0,24.0,,9.0,19.0,28.0,5.0
149236,137.0,748.0,3501.0,1351.0,1659.0,1028.0,6584.0,3318.0,6331.0,10.0,29.0,325.0,2.0,,4.0,3.0
149337,19.0,185.0,1490.0,90.0,307.0,565.0,439.0,1455.0,600.0,1.0,2.0,14.0,,,,
149539,259.0,815.0,1091.0,,812.0,6.0,90.0,143.0,90.0,,60.0,,,,,
149842,21.0,32.0,887.0,18.0,180.0,396.0,363.0,528.0,250.0,,71.0,,,,,
150524,123.0,997.0,1189.0,436.0,1112.0,1062.0,116.0,1873.0,1290.0,,69.0,11.0,57.0,,12.0,62.0
150726,239.0,204.0,523.0,,157.0,535.0,1032.0,1277.0,237.0,,6.0,,,9.0,,
150928,236.0,248.0,1206.0,,865.0,6.0,78.0,530.0,101.0,,1.0,12.0,1.0,,51.0,11.0
151021,41.0,54.0,338.0,,76.0,697.0,361.0,1969.0,846.0,,,,2.0,,,1.0
151223,328.0,608.0,738.0,,1197.0,235.0,728.0,754.0,403.0,,,,,,,
151324,574.0,1303.0,958.0,,3746.0,257.0,86.0,1189.0,163.0,,,,2.0,,,
151425,55.0,140.0,262.0,7.0,393.0,1192.0,1467.0,2195.0,2018.0,,2.0,,,,,
151526,97.0,11.0,207.0,10.0,290.0,632.0,2553.0,1478.0,855.0,5.0,28.0,43.0,3.0,182.0,1.0,
151627,151.0,145.0,60.0,,203.0,82.0,25.0,306.0,45.0,10.0,,,,,,
151829,38.0,235.0,1669.0,,564.0,780.0,180.0,1265.0,235.0,,3.0,5.0,32.0,,,
151930,2.0,256.0,172.0,1.0,219.0,141.0,260.0,1840.0,804.0,10.0,2.0,48.0,,,14.0,
152225,38.0,256.0,1741.0,181.0,169.0,1052.0,958.0,2034.0,441.0,,50.0,,1.0,4.0,1.0,8.0
152427,412.0,598.0,431.0,12.0,383.0,235.0,741.0,783.0,1069.0,1.0,,86.0,2.0,,14.0,
152831,,603.0,916.0,,887.0,318.0,198.0,1201.0,284.0,,,14.0,,,,
153025,4.0,1476.0,958.0,9.0,2131.0,916.0,199.0,1966.0,2041.0,7.0,,53.0,4.0,4.0,122.0,27.0
153126,5.0,6.0,269.0,26.0,20.0,362.0,626.0,800.0,1236.0,3.0,19.0,,9.0,15.0,63.0,
153227,3.0,12.0,35.0,36.0,8.0,292.0,208.0,878.0,955.0,,65.0,1.0,,,,1.0
153429,64.0,1979.0,880.0,1.0,99.0,175.0,139.0,781.0,1046.0,,15.0,,3.0,81.0,105.0,
153631,48.0,863.0,1010.0,,1922.0,321.0,891.0,727.0,537.0,21.0,6.0,15.0,3.0,,1.0,
153732,22.0,1.0,151.0,,,377.0,2070.0,1375.0,2155.0,,,10.0,,,,
153833,1.0,5.0,1085.0,,91.0,367.0,393.0,1730.0,1697.0,,,,,,,
153934,62.0,925.0,1015.0,,599.0,14.0,130.0,572.0,395.0,,,,,,,
154229,80.0,78.0,1541.0,11.0,92.0,286.0,294.0,784.0,153.0,11.0,13.0,,,,,
154330,560.0,409.0,1250.0,,405.0,215.0,790.0,1447.0,1023.0,,33.0,,,,10.0,
154431,,,165.0,27.0,2.0,306.0,978.0,1673.0,871.0,,6.0,,,10.0,,
154532,518.0,1299.0,3926.0,61.0,1752.0,28.0,824.0,3799.0,1691.0,10.0,6.0,78.0,,5.0,21.0,16.0
154734,229.0,598.0,1544.0,,316.0,150.0,587.0,444.0,205.0,9.0,24.0,23.0,32.0,48.0,418.0,
154835,120.0,4033.0,1699.0,71.0,4346.0,13.0,353.0,1202.0,739.0,138.0,2.0,307.0,1.0,46.0,86.0,669.0
154936,197.0,2430.0,1889.0,,2411.0,150.0,46.0,865.0,527.0,,,,,12.0,3.0,18.0
155231,699.0,563.0,3250.0,124.0,549.0,157.0,2297.0,781.0,2284.0,,100.0,,,,,
155938,2.0,794.0,407.0,13.0,206.0,17.0,731.0,354.0,600.0,,8.0,,2.0,60.0,371.0,
156031,78.0,179.0,680.0,57.0,180.0,221.0,160.0,1104.0,551.0,,2.0,1.0,,,8.0,
156233,13.0,756.0,397.0,,379.0,65.0,7.0,268.0,334.0,,,,,,,
156334,3.0,472.0,1066.0,63.0,635.0,120.0,251.0,1039.0,602.0,,12.0,41.0,,1.0,124.0,
156536,448.0,593.0,1330.0,,354.0,239.0,6.0,1515.0,61.0,1.0,,10.0,,,,
156637,89.0,140.0,770.0,6.0,926.0,183.0,467.0,1764.0,535.0,,,,,,,
157336,29.0,25.0,,1.0,114.0,500.0,307.0,680.0,196.0,,11.0,,,,,
157437,186.0,521.0,1942.0,,1193.0,126.0,281.0,471.0,328.0,10.0,,11.0,,,,4.0
158035,139.0,79.0,994.0,143.0,146.0,274.0,174.0,1321.0,122.0,,13.0,,,24.0,52.0,
